id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
2,Bugs Bunny's Third Movie: 1001 Rabbit Tales,Le 1001 favole di Bugs Bunny,1982,Animazione,76,USA,7.7,8.0,7,22,3,3,0,0
3,18 anni tra una settimana,18 anni tra una settimana,1991,Drammatico,98,Italia,6.5,6.0,7,4,0,2,0,2
17,Ride a Wild Pony,A cavallo di un pony selvaggio,1976,Sentimentale,91,USA,5.7,6.0,5,10,1,2,1,0
18,Diner,A cena con gli amici,1982,Commedia,95,USA,7.0,8.0,6,18,2,2,0,1
20,A che servono questi quattrini?,A che servono questi quattrini?,1942,Commedia,85,Italia,5.9,5.33,7,15,3,1,1,0
21,The Uranian Conspiracy,"A chi tocca, tocca...!",1978,Spionaggio,117,"Italia, Germania, Israele",4.8,3.5,6,5,1,2,0,2
22,A ciascuno il suo,A ciascuno il suo,1967,Drammatico,93,Italia,7.6,7.68,7,139,0,2,3,3
23,Dead-Bang,Dead Bang - A colpo sicuro,1989,Poliziesco,109,USA,6.0,6.0,6,27,0,2,0,2
24,A... come assassino,A... come assassino,1966,Thriller,80,Italia,5.2,3.0,7,5,1,2,0,1
26,At Close Range,A distanza ravvicinata,1986,Drammatico,115,USA,7.5,7.64,7,90,1,3,2,4
30,A Ghentar si muore facile,A Ghentar si muore facile,1968,Avventura,101,Italia,4.8,4.5,5,3,0,2,0,1
32,Sleeping with the Enemy,A letto con il nemico,1990,Drammatico,96,USA,5.0,4.33,6,111,1,3,2,3
34,In Bed With Madonna,A letto con Madonna,1990,Documentario,111,USA,5.3,4.0,7,18,1,3,0,0
36,Bowery at Midnight,A mezzanotte corre il terrore,1942,Horror,62,USA,5.1,5.0,5,27,0,2,1,3
37,A mezzanotte va la ronda del piacere,A mezzanotte va la ronda del piacere,1975,Commedia,100,Italia,5.8,5.73,6,58,3,3,2,2
38,Mr. Majestyk,A muso duro,1974,Azione,105,USA,6.2,5.71,7,28,0,4,3,3
45,Warning Sign,A pochi secondi dalla fine,1985,Catastrofico,99,USA,4.8,4.0,6,10,0,2,1,1
47,About Last Night,A proposito della notte scorsa...,1986,Commedia,113,USA,5.9,6.0,6,30,2,3,1,1
49,Fail-Safe,A prova di errore,1964,Drammatico,110,USA,8.2,8.2,8,73,0,3,3,3
51,Some Like It Hot,A qualcuno piace caldo,1959,Commedia,120,USA,9.1,9.38,9,558,4,3,2,2
53,A qualsiasi prezzo,A qualsiasi prezzo,1968,Avventura,94,Italia,3.8,4.0,4,8,1,2,0,1
54,Johnny O'Clock,A sangue freddo,1947,Thriller,95,USA,7.8,8.0,8,20,1,3,1,3
55,Back to School,A scuola con papà,1986,Commedia,100,USA,6.5,7.0,6,17,3,2,1,0
58,Driving Miss Daisy,A spasso con Daisy,1989,Commedia,100,USA,7.0,7.0,7,204,2,2,3,1
59,Enid Is Sleeping,A spasso con la morta,1989,Commedia,102,USA,7.0,8.0,6,3,3,2,0,1
61,The Appaloosa,A Sud Ovest di Sonora,1966,Western,98,USA,6.9,7.0,7,26,0,2,1,3
63,...a tutte le auto della polizia...,...a tutte le auto della polizia...,1975,Poliziesco,100,Italia,5.7,5.57,6,26,0,2,0,2
67,You'll Like My Mother,A un passo dalla morte,1973,Thriller,94,USA,7.8,8.0,8,6,0,3,1,3
68,Abbasso la miseria!,Abbasso la miseria!,1945,Commedia,90,Italia,6.1,6.0,6,34,2,2,0,0
69,Abbasso la ricchezza!,Abbasso la ricchezza!,1946,Commedia,93,Italia,5.6,5.17,6,32,2,2,1,0
70,Can You Feel Me Dancing?,Abbracciami forte,1986,Drammatico,120,USA,8.0,6.0,10,3,0,2,2,0
71,Charlie Muffin,L'abbraccio dell'orso,1979,Spionaggio,109,Gran Bretagna,6.2,6.0,6,13,1,2,1,3
73,Abbronzatissimi,Abbronzatissimi,1991,Commedia,114,Italia,3.3,3.11,3,91,3,2,2,2
74,The Deep,Abissi,1977,Avventura,130,USA,5.3,4.88,6,31,1,2,1,2
77,Abe Lincoln in Illinois,Abramo Lincoln in Illinois,1940,Biografico,110,USA,6.3,6.0,7,14,0,1,1,1
78,Absolute Beginners,Absolute Beginners,1986,Musicale,100,Gran Bretagna,6.3,6.8,6,31,1,2,0,2
79,The Abyss,The Abyss,1989,Fantascienza,138,USA,7.2,7.14,7,190,0,3,0,3
80,"Acapulco, prima spiaggia... a sinistra","Acapulco, prima spiaggia... a sinistra",1983,Commedia,88,Italia,4.2,3.11,5,81,3,2,1,1
82,Accadde a Damasco,Accadde a Damasco,1943,Commedia,88,"Italia, Spagna",3.5,3.0,4,3,1,1,0,2
83,Accadde al penitenziario,Accadde al penitenziario,1955,Commedia,95,Italia,5.5,5.14,6,46,2,2,1,1
84,It Happened Tomorrow,Avvenne domani,1944,Commedia,84,USA,7.6,8.0,7,50,3,3,1,2
87,Made in Heaven,Accadde in Paradiso,1987,Sentimentale,102,USA,5.6,6.25,5,20,2,2,0,1
88,September Affair,Accadde in settembre,1950,Commedia,104,USA,6.5,7.67,5,10,2,0,0,0
89,It Happened One Night,Accadde una notte,1934,Commedia,108,USA,8.4,8.56,8,180,3,3,1,2
92,Accattone,Accattone,1961,Drammatico,120,Italia,8.4,8.81,8,299,1,3,3,3
95,Achtung! Banditi!,Achtung! Banditi!,1951,Guerra,100,Italia,7.0,6.92,7,55,0,2,4,2
97,Water,Acqua in bocca,1985,Grottesco,97,Gran Bretagna,6.9,8.0,6,5,2,3,0,1
100,Acque di primavera,Acque di primavera,1942,Drammatico,80,Italia,5.6,4.2,7,8,0,2,0,0
101,Action Jackson,Action Jackson,1988,Poliziesco,97,USA,5.2,5.0,5,35,0,3,0,2
104,Mail Order Bride,Ad Ovest del Montana,1963,Western,90,USA,6.1,6.0,6,19,1,2,0,1
105,Ad Ovest di Paperino,Ad Ovest di Paperino,1982,Commedia,95,Italia,6.2,6.43,6,106,3,3,2,1
107,Ada,Ada Dallas,1961,Drammatico,109,USA,6.3,6.0,7,4,0,2,1,2
108,Adamo ed Eva,Adamo ed Eva,1949,Commedia,90,Italia,4.8,4.0,6,9,3,1,0,0
